req_time	req_url	req_resopnse
2023/5/4 20:50	https://u0lesbz7td.execute-api.ap-southeast-2.amazonaws.com/gbpjpy/now?interval=1h	{"datetime": "05/04/2023, 20:00:00", "interval": "1h", "up": "0.661705", "down": "0.083434366", "stationary": "0.25486058"}
2023/5/4 21:00	https://u0lesbz7td.execute-api.ap-southeast-2.amazonaws.com/usdjpy/now?interval=1h	{"datetime": "05/04/2023, 21:00:00", "interval": "1h", "up": "0.5205687", "down": "0.23435842", "stationary": "0.24507287"}
2023/5/4 21:00	https://u0lesbz7td.execute-api.ap-southeast-2.amazonaws.com/audjpy/now?interval=1h	{"datetime": "05/04/2023, 21:00:00", "interval": "1h", "up": "0.3073479", "down": "0.11353927", "stationary": "0.5791129"}
2023/5/4 21:00	https://u0lesbz7td.execute-api.ap-southeast-2.amazonaws.com/eurjpy/now?interval=1h	{"datetime": "05/04/2023, 21:00:00", "interval": "1h", "up": "0.34413338", "down": "0.02225232", "stationary": "0.63361436"}
2023/5/4 21:00	https://u0lesbz7td.execute-api.ap-southeast-2.amazonaws.com/gbpjpy/now?interval=1h	{"datetime": "05/04/2023, 21:00:00", "interval": "1h", "up": "0.054186013", "down": "0.12512738", "stationary": "0.8206865"}
2023/5/4 21:10	https://u0lesbz7td.execute-api.ap-southeast-2.amazonaws.com/usdjpy/now?interval=1h	{"datetime": "05/04/2023, 21:00:00", "interval": "1h", "up": "0.4173916", "down": "0.2505568", "stationary": "0.33205158"}
2023/5/4 21:10	https://u0lesbz7td.execute-api.ap-southeast-2.amazonaws.com/audjpy/now?interval=1h	{"datetime": "05/04/2023, 21:00:00", "interval": "1h", "up": "0.149328", "down": "0.0865162", "stationary": "0.7641557"}
2023/5/4 21:10	https://u0lesbz7td.execute-api.ap-southeast-2.amazonaws.com/eurjpy/now?interval=1h	{"datetime": "05/04/2023, 21:00:00", "interval": "1h", "up": "0.46994632", "down": "0.046723574", "stationary": "0.48333013"}
2023/5/4 21:10	https://u0lesbz7td.execute-api.ap-southeast-2.amazonaws.com/gbpjpy/now?interval=1h	{"datetime": "05/04/2023, 21:00:00", "interval": "1h", "up": "0.054108437", "down": "0.10926766", "stationary": "0.8366239"}
2023/5/4 21:20	https://u0lesbz7td.execute-api.ap-southeast-2.amazonaws.com/usdjpy/now?interval=1h	{"datetime": "05/04/2023, 21:00:00", "interval": "1h", "up": "0.60638905", "down": "0.21846302", "stationary": "0.17514789"}
2023/5/4 21:20	https://u0lesbz7td.execute-api.ap-southeast-2.amazonaws.com/audjpy/now?interval=1h	{"datetime": "05/04/2023, 21:00:00", "interval": "1h", "up": "0.1995937", "down": "0.09004989", "stationary": "0.7103565"}
2023/5/4 21:20	https://u0lesbz7td.execute-api.ap-southeast-2.amazonaws.com/eurjpy/now?interval=1h	{"datetime": "05/04/2023, 21:00:00", "interval": "1h", "up": "0.52601904", "down": "0.01935927", "stationary": "0.45462164"}
2023/5/4 21:20	https://u0lesbz7td.execute-api.ap-southeast-2.amazonaws.com/gbpjpy/now?interval=1h	{"datetime": "05/04/2023, 21:00:00", "interval": "1h", "up": "0.1378179", "down": "0.07786761", "stationary": "0.78431445"}
2023/5/4 21:30	https://u0lesbz7td.execute-api.ap-southeast-2.amazonaws.com/usdjpy/now?interval=1h	{"datetime": "05/04/2023, 21:00:00", "interval": "1h", "up": "0.4129289", "down": "0.21078795", "stationary": "0.37628308"}
2023/5/4 21:30	https://u0lesbz7td.execute-api.ap-southeast-2.amazonaws.com/audjpy/now?interval=1h	{"datetime": "05/04/2023, 21:00:00", "interval": "1h", "up": "0.27606142", "down": "0.07615478", "stationary": "0.64778376"}
2023/5/4 21:30	https://u0lesbz7td.execute-api.ap-southeast-2.amazonaws.com/eurjpy/now?interval=1h	{"datetime": "05/04/2023, 21:00:00", "interval": "1h", "up": "0.029870214", "down": "0.03489035", "stationary": "0.9352395"}
2023/5/4 21:30	https://u0lesbz7td.execute-api.ap-southeast-2.amazonaws.com/gbpjpy/now?interval=1h	{"datetime": "05/04/2023, 21:00:00", "interval": "1h", "up": "0.07487245", "down": "0.23717085", "stationary": "0.6879567"}
2023/5/4 21:40	https://u0lesbz7td.execute-api.ap-southeast-2.amazonaws.com/usdjpy/now?interval=1h	{"datetime": "05/04/2023, 21:00:00", "interval": "1h", "up": "0.32080227", "down": "0.1155888", "stationary": "0.5636089"}
2023/5/4 21:40	https://u0lesbz7td.execute-api.ap-southeast-2.amazonaws.com/audjpy/now?interval=1h	{"datetime": "05/04/2023, 21:00:00", "interval": "1h", "up": "0.17823708", "down": "0.0444707", "stationary": "0.7772922"}
2023/5/4 21:40	https://u0lesbz7td.execute-api.ap-southeast-2.amazonaws.com/eurjpy/now?interval=1h	{"datetime": "05/04/2023, 21:00:00", "interval": "1h", "up": "0.034485295", "down": "0.005517355", "stationary": "0.9599973"}
2023/5/4 21:40	https://u0lesbz7td.execute-api.ap-southeast-2.amazonaws.com/gbpjpy/now?interval=1h	{"datetime": "05/04/2023, 21:00:00", "interval": "1h", "up": "0.058143757", "down": "0.22791447", "stationary": "0.71394175"}
2023/5/4 21:50	https://u0lesbz7td.execute-api.ap-southeast-2.amazonaws.com/usdjpy/now?interval=1h	{"datetime": "05/04/2023, 21:00:00", "interval": "1h", "up": "0.32841283", "down": "0.14662464", "stationary": "0.5249625"}
2023/5/4 21:50	https://u0lesbz7td.execute-api.ap-southeast-2.amazonaws.com/audjpy/now?interval=1h	{"datetime": "05/04/2023, 21:00:00", "interval": "1h", "up": "0.29580912", "down": "0.18693496", "stationary": "0.5172559"}
2023/5/4 21:50	https://u0lesbz7td.execute-api.ap-southeast-2.amazonaws.com/eurjpy/now?interval=1h	{"datetime": "05/04/2023, 21:00:00", "interval": "1h", "up": "0.29382184", "down": "0.07405537", "stationary": "0.6321229"}
2023/5/4 21:50	https://u0lesbz7td.execute-api.ap-southeast-2.amazonaws.com/gbpjpy/now?interval=1h	{"datetime": "05/04/2023, 21:00:00", "interval": "1h", "up": "0.052085884", "down": "0.15439843", "stationary": "0.79351574"}
2023/5/4 22:00	https://u0lesbz7td.execute-api.ap-southeast-2.amazonaws.com/usdjpy/now?interval=1h	{"datetime": "05/04/2023, 22:00:00", "interval": "1h", "up": "0.059141655", "down": "0.06449015", "stationary": "0.8763682"}
2023/5/4 22:00	https://u0lesbz7td.execute-api.ap-southeast-2.amazonaws.com/audjpy/now?interval=1h	{"datetime": "05/04/2023, 22:00:00", "interval": "1h", "up": "0.1357526", "down": "0.75327003", "stationary": "0.11097737"}
2023/5/4 22:00	https://u0lesbz7td.execute-api.ap-southeast-2.amazonaws.com/eurjpy/now?interval=1h	{"datetime": "05/04/2023, 22:00:00", "interval": "1h", "up": "0.7325618", "down": "0.08957317", "stationary": "0.17786501"}
2023/5/4 22:01	https://u0lesbz7td.execute-api.ap-southeast-2.amazonaws.com/gbpjpy/now?interval=1h	{"datetime": "05/04/2023, 22:00:00", "interval": "1h", "up": "0.30842873", "down": "0.023924142", "stationary": "0.6676472"}
2023/5/4 22:10	https://u0lesbz7td.execute-api.ap-southeast-2.amazonaws.com/usdjpy/now?interval=1h	{"datetime": "05/04/2023, 22:00:00", "interval": "1h", "up": "0.31346834", "down": "0.24127261", "stationary": "0.44525906"}
2023/5/4 22:10	https://u0lesbz7td.execute-api.ap-southeast-2.amazonaws.com/audjpy/now?interval=1h	{"datetime": "05/04/2023, 22:00:00", "interval": "1h", "up": "0.13562812", "down": "0.718869", "stationary": "0.1455029"}
2023/5/4 22:10	https://u0lesbz7td.execute-api.ap-southeast-2.amazonaws.com/eurjpy/now?interval=1h	{"datetime": "05/04/2023, 22:00:00", "interval": "1h", "up": "0.07043711", "down": "0.0881717", "stationary": "0.8413912"}
2023/5/4 22:10	https://u0lesbz7td.execute-api.ap-southeast-2.amazonaws.com/gbpjpy/now?interval=1h	{"datetime": "05/04/2023, 22:00:00", "interval": "1h", "up": "0.2005685", "down": "0.032563504", "stationary": "0.766868"}
2023/5/4 22:20	https://u0lesbz7td.execute-api.ap-southeast-2.amazonaws.com/usdjpy/now?interval=1h	{"datetime": "05/04/2023, 22:00:00", "interval": "1h", "up": "0.20757632", "down": "0.40866208", "stationary": "0.38376167"}
2023/5/4 22:20	https://u0lesbz7td.execute-api.ap-southeast-2.amazonaws.com/audjpy/now?interval=1h	{"datetime": "05/04/2023, 22:00:00", "interval": "1h", "up": "0.13579766", "down": "0.7006926", "stationary": "0.16350983"}
2023/5/4 22:20	https://u0lesbz7td.execute-api.ap-southeast-2.amazonaws.com/eurjpy/now?interval=1h	{"datetime": "05/04/2023, 22:00:00", "interval": "1h", "up": "0.048072528", "down": "0.03699884", "stationary": "0.9149287"}
2023/5/4 22:20	https://u0lesbz7td.execute-api.ap-southeast-2.amazonaws.com/gbpjpy/now?interval=1h	{"datetime": "05/04/2023, 22:00:00", "interval": "1h", "up": "0.20565845", "down": "0.020737395", "stationary": "0.7736042"}
